step,time_s,cmd_vel,fwd_vel,lateral_vel,pelvis_height,reward_step
0,0.000,4.000,-0.142,0.092,0.756,-0.0530
1,0.017,4.000,-0.198,0.046,0.748,0.2955
2,0.033,4.000,-0.196,0.029,0.738,0.4099
3,0.050,4.000,-0.229,0.022,0.724,0.3217
4,0.067,4.000,-0.253,0.082,0.708,0.3462
5,0.083,4.000,-0.243,0.112,0.688,0.4347
6,0.100,4.000,-0.199,0.145,0.666,-1.0201
7,0.117,4.000,0.024,0.104,0.644,0.0421
8,0.133,4.000,0.205,0.126,0.624,0.3647
9,0.150,4.000,0.339,0.096,0.607,0.4256
10,0.167,4.000,0.463,0.022,0.593,0.4461
11,0.183,4.000,0.574,0.022,0.582,0.4669
12,0.200,4.000,0.686,0.023,0.574,0.3927
13,0.217,4.000,0.833,0.018,0.568,0.2739
14,0.233,4.000,0.954,0.019,0.565,0.3238
15,0.250,4.000,1.123,0.014,0.564,0.2331
16,0.267,4.000,1.274,0.016,0.564,0.2847
17,0.283,4.000,1.452,0.033,0.565,0.2533
18,0.300,4.000,1.575,-0.006,0.566,0.3421
19,0.317,4.000,1.594,-0.052,0.569,0.3911
20,0.333,4.000,1.535,-0.115,0.570,-0.1603
21,0.350,4.000,1.486,-0.115,0.570,-0.9856
22,0.367,4.000,1.513,-0.057,0.570,-0.0016
23,0.383,4.000,1.518,-0.034,0.571,0.2568
24,0.400,4.000,1.562,-0.053,0.573,0.3299
25,0.417,4.000,1.662,-0.066,0.575,0.0731
26,0.433,4.000,1.817,-0.042,0.578,-0.0649
27,0.450,4.000,2.099,-0.002,0.582,-0.2440
28,0.467,4.000,2.453,0.035,0.587,-0.2989
29,0.483,4.000,2.808,0.056,0.593,-0.5081
30,0.500,4.000,3.181,0.066,0.602,-0.7829
31,0.517,4.000,3.402,-0.063,0.614,-0.4211
32,0.533,4.000,3.381,-0.107,0.626,-0.0878
33,0.550,4.000,3.372,-0.042,0.636,0.1973
34,0.567,4.000,3.415,0.003,0.644,0.9716
35,0.583,4.000,3.468,0.060,0.651,1.1124
36,0.600,4.000,3.549,0.125,0.657,1.2071
37,0.617,4.000,3.545,0.185,0.662,1.0356
38,0.633,4.000,3.561,0.221,0.667,0.9147
39,0.650,4.000,3.590,0.217,0.672,0.7434
40,0.667,4.000,3.648,0.177,0.678,0.3831
41,0.683,4.000,3.766,0.086,0.684,1.1215
42,0.700,4.000,3.796,-0.075,0.691,0.8121
43,0.717,4.000,3.840,-0.073,0.695,0.1075
44,0.733,4.000,3.920,-0.113,0.699,1.1869
45,0.750,4.000,3.927,-0.050,0.702,1.5658
46,0.767,4.000,3.935,-0.015,0.703,2.0168
47,0.783,4.000,3.953,-0.020,0.704,2.1898
48,0.800,4.000,3.870,-0.033,0.703,2.1075
49,0.817,4.000,3.831,-0.055,0.700,2.0908
50,0.833,4.000,3.792,-0.054,0.695,2.0083
51,0.850,4.000,3.843,-0.024,0.687,1.8349
52,0.867,4.000,3.899,0.039,0.682,1.5305
53,0.883,4.000,3.829,0.082,0.680,1.5971
54,0.900,4.000,3.820,0.165,0.680,1.4197
55,0.917,4.000,3.807,0.206,0.682,1.1967
56,0.933,4.000,3.814,0.232,0.686,1.1377
57,0.950,4.000,3.943,0.169,0.692,1.1541
58,0.967,4.000,3.835,0.043,0.696,1.1954
59,0.983,4.000,3.831,0.045,0.698,1.8737
60,1.000,4.000,3.842,0.081,0.698,1.9908
61,1.017,4.000,3.841,0.109,0.697,2.1124
62,1.033,4.000,3.830,0.143,0.695,2.1157
63,1.050,4.000,3.844,0.194,0.691,2.0640
64,1.067,4.000,3.880,0.303,0.687,1.7029
65,1.083,4.000,3.858,0.288,0.683,1.7067
66,1.100,4.000,3.823,0.217,0.682,1.6272
67,1.117,4.000,3.820,0.136,0.684,1.5875
68,1.133,4.000,3.929,0.050,0.690,1.5639
69,1.150,4.000,3.948,-0.010,0.698,1.4618
70,1.167,4.000,3.875,0.088,0.703,0.4895
71,1.183,4.000,3.902,0.124,0.706,1.6456
72,1.200,4.000,3.952,0.178,0.707,1.9013
73,1.217,4.000,3.967,0.180,0.706,2.2037
74,1.233,4.000,3.905,0.145,0.704,2.0567
75,1.250,4.000,3.870,0.098,0.700,2.1102
76,1.267,4.000,3.865,0.054,0.694,2.0331
77,1.283,4.000,3.901,0.018,0.687,2.0545
78,1.300,4.000,3.921,0.026,0.682,1.9042
79,1.317,4.000,3.955,0.061,0.679,1.8477
80,1.333,4.000,3.939,0.095,0.679,1.8066
81,1.350,4.000,3.932,0.114,0.681,1.5210
82,1.367,4.000,3.944,0.120,0.685,1.4867
83,1.383,4.000,4.007,0.047,0.689,1.5528
84,1.400,4.000,3.948,0.001,0.692,1.6367
85,1.417,4.000,3.920,0.024,0.693,2.0800
86,1.433,4.000,3.935,0.033,0.692,2.2188
87,1.450,4.000,3.959,0.039,0.690,2.2661
88,1.467,4.000,3.989,0.089,0.687,2.0531
89,1.483,4.000,3.910,0.165,0.683,1.9256
90,1.500,4.000,3.935,0.184,0.681,1.9340
