step,time_s,cmd_vel,fwd_vel,lateral_vel,pelvis_height,reward_step
0,0.000,4.000,-0.304,0.091,0.756,-0.7234
1,0.017,4.000,-0.530,0.152,0.751,-0.6535
2,0.033,4.000,-0.668,0.182,0.744,-0.3665
3,0.050,4.000,-0.725,0.195,0.737,-0.1321
4,0.067,4.000,-0.685,0.210,0.728,-0.1252
5,0.083,4.000,-0.564,0.207,0.719,-0.2752
6,0.100,4.000,-0.388,0.210,0.707,-0.4236
7,0.117,4.000,-0.172,0.175,0.694,-0.3981
8,0.133,4.000,0.060,0.163,0.680,-0.1256
9,0.150,4.000,0.276,0.138,0.663,0.0492
10,0.167,4.000,0.482,0.104,0.646,-0.1225
11,0.183,4.000,0.711,0.124,0.629,-0.6322
12,0.200,4.000,0.857,0.036,0.614,0.1444
13,0.217,4.000,0.936,-0.079,0.603,0.1824
14,0.233,4.000,1.049,-0.071,0.593,0.5845
15,0.250,4.000,1.120,-0.055,0.585,0.5415
16,0.267,4.000,1.265,-0.044,0.579,0.5886
17,0.283,4.000,1.430,0.011,0.575,0.0612
18,0.300,4.000,1.552,-0.042,0.573,0.2948
19,0.317,4.000,1.576,-0.057,0.571,0.5183
20,0.333,4.000,1.636,-0.130,0.570,0.3291
21,0.350,4.000,1.540,-0.184,0.569,0.4563
22,0.367,4.000,1.424,-0.195,0.568,0.4632
23,0.383,4.000,1.351,-0.184,0.567,0.5652
24,0.400,4.000,1.329,-0.169,0.568,0.5601
25,0.417,4.000,1.336,-0.144,0.570,0.4973
26,0.433,4.000,1.361,-0.106,0.571,0.4132
27,0.450,4.000,1.416,-0.052,0.573,0.3703
28,0.467,4.000,1.505,0.003,0.575,0.3463
29,0.483,4.000,1.647,0.044,0.577,0.3351
30,0.500,4.000,1.820,0.019,0.580,0.2121
31,0.517,4.000,2.059,0.005,0.584,-0.0210
32,0.533,4.000,2.326,0.032,0.588,-0.2578
33,0.550,4.000,2.665,-0.004,0.595,-0.5393
34,0.567,4.000,2.975,-0.137,0.603,-0.4782
35,0.583,4.000,2.946,0.001,0.613,-0.2833
36,0.600,4.000,2.864,0.028,0.621,-0.0446
37,0.617,4.000,2.857,0.047,0.628,0.5845
38,0.633,4.000,2.868,0.065,0.635,0.6609
39,0.650,4.000,2.914,0.093,0.639,0.6619
40,0.667,4.000,2.978,0.117,0.641,0.6573
41,0.683,4.000,3.002,0.162,0.642,0.4313
42,0.700,4.000,3.051,0.162,0.644,0.5316
43,0.717,4.000,3.122,0.178,0.647,0.4492
44,0.733,4.000,3.177,0.151,0.653,0.0143
45,0.750,4.000,3.210,0.099,0.661,-0.5750
46,0.767,4.000,3.392,0.025,0.672,-0.6929
47,0.783,4.000,3.529,0.026,0.681,0.1437
48,0.800,4.000,3.726,0.028,0.687,1.0206
49,0.817,4.000,3.844,-0.027,0.691,1.5180
50,0.833,4.000,3.783,-0.057,0.695,1.5268
51,0.850,4.000,3.751,-0.089,0.697,1.7506
52,0.867,4.000,3.724,-0.115,0.699,1.8554
53,0.883,4.000,3.703,-0.135,0.700,1.8257
54,0.900,4.000,3.678,-0.149,0.698,1.7566
55,0.917,4.000,3.643,-0.145,0.694,1.5875
56,0.933,4.000,3.609,-0.139,0.687,1.4064
57,0.950,4.000,3.629,-0.076,0.679,1.2644
58,0.967,4.000,3.588,-0.020,0.673,1.3477
59,0.983,4.000,3.608,0.047,0.668,1.2951
60,1.000,4.000,3.639,0.070,0.665,1.2395
61,1.017,4.000,3.704,0.108,0.664,1.2618
62,1.033,4.000,3.750,0.128,0.666,1.1257
63,1.050,4.000,3.814,0.109,0.669,1.0415
64,1.067,4.000,3.901,0.069,0.674,1.1707
65,1.083,4.000,3.770,0.119,0.678,0.6261
66,1.100,4.000,3.666,-0.028,0.679,-0.0614
67,1.117,4.000,3.684,-0.073,0.679,1.4428
68,1.133,4.000,3.737,-0.063,0.679,1.7586
69,1.150,4.000,3.790,0.002,0.678,1.9210
70,1.167,4.000,3.820,0.075,0.675,2.0542
71,1.183,4.000,3.830,0.122,0.672,2.0785
72,1.200,4.000,3.839,0.141,0.667,1.9106
73,1.217,4.000,3.772,0.152,0.661,1.5577
74,1.233,4.000,3.772,0.107,0.659,1.5891
75,1.250,4.000,3.800,0.113,0.661,1.5851
76,1.267,4.000,3.827,0.093,0.667,1.4898
77,1.283,4.000,3.916,0.040,0.676,1.4304
78,1.300,4.000,3.769,-0.055,0.684,0.7213
79,1.317,4.000,3.841,0.071,0.689,0.5951
80,1.333,4.000,3.918,0.086,0.691,1.4571
81,1.350,4.000,3.878,0.060,0.693,1.6023
82,1.367,4.000,3.924,0.031,0.693,1.8396
83,1.383,4.000,3.913,-0.017,0.692,2.0351
84,1.400,4.000,3.918,-0.054,0.689,2.1561
85,1.417,4.000,3.912,-0.088,0.685,2.1505
86,1.433,4.000,3.888,-0.136,0.679,1.9004
87,1.450,4.000,3.869,-0.138,0.673,1.8396
88,1.467,4.000,3.881,-0.148,0.667,1.8489
89,1.483,4.000,3.886,-0.104,0.663,1.9348
90,1.500,4.000,3.940,-0.031,0.662,1.9377
91,1.517,4.000,3.888,0.038,0.662,1.6231
92,1.533,4.000,3.896,0.073,0.665,1.6693
93,1.550,4.000,3.911,0.083,0.668,1.5826
94,1.567,4.000,3.951,0.028,0.673,1.4254
95,1.583,4.000,3.941,0.012,0.679,1.4753
96,1.600,4.000,3.882,-0.029,0.682,1.3479
97,1.617,4.000,3.903,-0.014,0.683,2.0088
98,1.633,4.000,3.941,0.002,0.683,2.2020
99,1.650,4.000,3.971,0.025,0.681,2.2632
100,1.667,4.000,3.996,0.064,0.678,2.1730
101,1.683,4.000,4.008,0.132,0.674,2.0874
102,1.700,4.000,3.948,0.144,0.670,1.4175
103,1.717,4.000,3.911,0.110,0.669,1.7353
104,1.733,4.000,3.893,0.081,0.673,1.7148
105,1.750,4.000,3.901,0.021,0.681,1.6254
106,1.767,4.000,3.972,-0.058,0.692,1.6189
107,1.783,4.000,3.977,-0.045,0.700,1.3753
108,1.800,4.000,4.032,-0.054,0.706,1.7206
109,1.817,4.000,4.026,-0.090,0.710,1.7909
110,1.833,4.000,4.024,-0.123,0.712,1.8524
111,1.850,4.000,4.011,-0.149,0.713,2.1842
112,1.867,4.000,4.013,-0.163,0.712,2.2605
113,1.883,4.000,4.002,-0.186,0.709,2.2478
114,1.900,4.000,3.986,-0.213,0.705,2.1974
115,1.917,4.000,3.966,-0.243,0.697,1.7712
116,1.933,4.000,3.912,-0.246,0.689,1.7986
117,1.950,4.000,3.903,-0.208,0.681,1.7608
118,1.967,4.000,3.855,-0.149,0.676,1.9335
119,1.983,4.000,3.884,-0.091,0.674,1.9825
120,2.000,4.000,3.913,-0.082,0.673,1.8543
121,2.017,4.000,3.922,-0.018,0.674,1.9071
122,2.033,4.000,3.927,0.003,0.677,1.7889
123,2.050,4.000,3.966,-0.040,0.681,1.6831
124,2.067,4.000,3.982,-0.054,0.685,1.7066
125,2.083,4.000,3.933,-0.058,0.687,1.4962
126,2.100,4.000,3.939,-0.024,0.687,2.0865
127,2.117,4.000,3.955,0.012,0.685,2.1897
128,2.133,4.000,3.981,0.050,0.681,2.1466
129,2.150,4.000,4.007,0.107,0.676,1.9085
130,2.167,4.000,3.946,0.176,0.671,1.4490
131,2.183,4.000,3.915,0.144,0.670,1.7190
132,2.200,4.000,3.886,0.123,0.672,1.8019
133,2.217,4.000,3.885,0.085,0.678,1.7307
134,2.233,4.000,3.926,0.028,0.688,1.5681
135,2.250,4.000,3.902,-0.039,0.697,1.4052
136,2.267,4.000,3.970,-0.025,0.702,1.8009
137,2.283,4.000,4.007,-0.040,0.706,1.7992
138,2.300,4.000,3.955,-0.068,0.707,1.8460
139,2.317,4.000,3.972,-0.094,0.707,2.1962
140,2.333,4.000,3.977,-0.112,0.706,2.2631
141,2.350,4.000,3.973,-0.130,0.703,2.2771
142,2.367,4.000,3.959,-0.151,0.698,2.2262
143,2.383,4.000,3.906,-0.173,0.691,1.8003
144,2.400,4.000,3.880,-0.174,0.684,1.9894
145,2.417,4.000,3.863,-0.154,0.677,1.8951
146,2.433,4.000,3.881,-0.096,0.673,1.9458
147,2.450,4.000,3.909,-0.063,0.671,1.9271
148,2.467,4.000,3.901,-0.007,0.671,1.7181
149,2.483,4.000,3.929,0.026,0.672,1.7986
150,2.500,4.000,3.946,-0.002,0.675,1.6132
151,2.517,4.000,3.990,-0.052,0.680,1.5855
152,2.533,4.000,3.920,-0.063,0.683,1.4966
153,2.550,4.000,3.937,-0.044,0.684,2.0721
154,2.567,4.000,3.954,-0.009,0.682,2.1338
155,2.583,4.000,3.973,0.025,0.679,2.1737
156,2.600,4.000,3.995,0.069,0.675,1.9518
157,2.617,4.000,3.999,0.188,0.671,1.7915
158,2.633,4.000,3.922,0.153,0.667,1.6173
159,2.650,4.000,3.896,0.140,0.668,1.7787
160,2.667,4.000,3.883,0.118,0.673,1.7809
161,2.683,4.000,3.896,0.076,0.682,1.6458
162,2.700,4.000,3.953,-0.034,0.692,1.5977
163,2.717,4.000,3.955,-0.031,0.700,1.3151
164,2.733,4.000,4.006,-0.052,0.705,1.7081
165,2.750,4.000,3.990,-0.087,0.708,1.7638
166,2.767,4.000,3.970,-0.120,0.710,1.7619
167,2.783,4.000,3.964,-0.138,0.710,2.1508
168,2.800,4.000,3.966,-0.149,0.709,2.2328
169,2.817,4.000,3.959,-0.168,0.706,2.2118
170,2.833,4.000,3.950,-0.192,0.701,2.1740
171,2.850,4.000,3.900,-0.210,0.693,1.6843
172,2.867,4.000,3.871,-0.201,0.686,1.9524
173,2.883,4.000,3.851,-0.170,0.680,1.9276
174,2.900,4.000,3.883,-0.105,0.676,1.9548
175,2.917,4.000,3.906,-0.072,0.674,1.9139
176,2.933,4.000,3.895,-0.042,0.673,1.6416
177,2.950,4.000,3.929,0.005,0.675,1.7784
178,2.967,4.000,3.962,-0.029,0.677,1.6577
179,2.983,4.000,4.017,-0.068,0.681,1.6627
180,3.000,4.000,3.948,-0.060,0.684,1.4691
181,3.017,4.000,3.958,-0.025,0.684,2.0542
