step,time_s,cmd_vel,fwd_vel,lateral_vel,pelvis_height,reward_step
0,0.000,4.000,-0.313,-0.075,0.758,-0.1937
1,0.017,4.000,-0.818,-0.175,0.755,-0.4976
2,0.033,4.000,-1.070,-0.251,0.753,0.1085
3,0.050,4.000,-1.150,-0.238,0.751,0.2337
4,0.067,4.000,-1.067,-0.215,0.749,0.0739
5,0.083,4.000,-0.836,-0.263,0.748,0.0744
6,0.100,4.000,-0.454,-0.318,0.748,-0.3003
7,0.117,4.000,-0.031,-0.334,0.745,-0.7193
8,0.133,4.000,0.635,-0.251,0.740,-1.2090
9,0.150,4.000,1.006,-0.155,0.731,-0.7301
10,0.167,4.000,0.980,-0.075,0.725,-0.7300
11,0.183,4.000,0.960,-0.024,0.724,-0.0130
12,0.200,4.000,0.898,0.003,0.723,0.4349
13,0.217,4.000,0.919,0.099,0.723,0.7026
14,0.233,4.000,0.954,0.193,0.724,0.7630
15,0.250,4.000,0.979,0.288,0.727,0.7985
16,0.267,4.000,0.989,0.376,0.729,0.8171
17,0.283,4.000,0.992,0.454,0.730,0.8221
18,0.300,4.000,0.993,0.488,0.730,0.7729
19,0.317,4.000,1.000,0.465,0.729,0.7517
20,0.333,4.000,1.043,0.447,0.726,0.7431
21,0.350,4.000,1.062,0.431,0.723,0.7716
22,0.367,4.000,1.079,0.406,0.719,0.7666
23,0.383,4.000,1.083,0.372,0.716,0.7482
24,0.400,4.000,1.097,0.345,0.712,0.7387
25,0.417,4.000,1.104,0.312,0.707,0.7255
26,0.433,4.000,1.106,0.273,0.703,0.7305
27,0.450,4.000,1.106,0.232,0.699,0.7349
28,0.467,4.000,1.097,0.183,0.694,0.7149
29,0.483,4.000,1.088,0.132,0.690,0.6709
30,0.500,4.000,1.089,0.079,0.687,0.6504
31,0.517,4.000,1.107,0.029,0.684,0.6178
32,0.533,4.000,1.143,-0.046,0.682,0.5904
33,0.550,4.000,1.219,-0.065,0.681,0.4895
34,0.567,4.000,1.405,-0.104,0.683,0.3517
35,0.583,4.000,1.743,-0.163,0.687,0.1940
36,0.600,4.000,1.944,-0.200,0.691,0.0748
37,0.617,4.000,2.037,-0.081,0.693,0.0858
38,0.633,4.000,2.152,-0.049,0.692,0.4458
39,0.650,4.000,2.258,-0.051,0.688,0.5337
40,0.667,4.000,2.262,-0.103,0.683,0.6140
41,0.683,4.000,2.184,-0.158,0.676,0.6371
42,0.700,4.000,2.118,-0.175,0.669,0.6773
43,0.717,4.000,2.063,-0.180,0.660,0.6021
44,0.733,4.000,2.007,-0.155,0.653,0.5367
45,0.750,4.000,2.027,-0.114,0.647,0.4289
46,0.767,4.000,2.100,-0.055,0.645,0.2680
47,0.783,4.000,2.139,0.041,0.645,-0.1683
48,0.800,4.000,2.224,0.108,0.649,-0.4541
49,0.817,4.000,2.445,0.161,0.654,-0.4851
50,0.833,4.000,2.813,0.175,0.659,-0.3437
51,0.850,4.000,3.026,0.117,0.664,0.0769
52,0.867,4.000,2.959,0.100,0.665,0.2062
53,0.883,4.000,2.889,0.073,0.666,0.4178
54,0.900,4.000,2.892,0.089,0.664,0.5394
55,0.917,4.000,2.897,0.143,0.662,0.5466
56,0.933,4.000,2.899,0.171,0.660,0.3260
57,0.950,4.000,2.947,0.193,0.658,0.3548
58,0.967,4.000,2.943,0.149,0.657,0.3131
59,0.983,4.000,2.983,0.054,0.659,0.0061
60,1.000,4.000,3.213,-0.108,0.665,-0.4927
61,1.017,4.000,3.621,-0.308,0.676,-0.1717
62,1.033,4.000,3.762,-0.263,0.683,0.6107
63,1.050,4.000,3.640,-0.116,0.685,0.1152
64,1.067,4.000,3.611,-0.120,0.684,1.0355
65,1.083,4.000,3.615,-0.139,0.682,1.1989
66,1.100,4.000,3.584,-0.161,0.680,1.2859
67,1.117,4.000,3.585,-0.193,0.677,1.4338
68,1.133,4.000,3.636,-0.260,0.674,1.4039
69,1.150,4.000,3.646,-0.284,0.670,1.5465
70,1.167,4.000,3.649,-0.272,0.667,1.4539
71,1.183,4.000,3.651,-0.265,0.665,0.7597
72,1.200,4.000,3.621,-0.233,0.666,0.4251
73,1.217,4.000,3.605,-0.063,0.668,0.3979
74,1.233,4.000,3.573,0.128,0.673,0.6438
75,1.250,4.000,3.617,0.240,0.678,0.5984
76,1.267,4.000,3.818,0.221,0.684,1.0209
77,1.283,4.000,3.771,0.246,0.688,1.2135
78,1.300,4.000,3.759,0.227,0.688,1.3688
79,1.317,4.000,3.807,0.180,0.687,1.8529
80,1.333,4.000,3.831,0.174,0.684,1.9641
81,1.350,4.000,3.841,0.194,0.681,1.9072
82,1.367,4.000,3.831,0.194,0.679,1.4190
83,1.383,4.000,3.845,0.129,0.679,1.7283
84,1.400,4.000,3.775,0.064,0.681,1.5182
85,1.417,4.000,3.765,-0.047,0.687,1.2535
86,1.433,4.000,3.841,-0.214,0.697,1.2765
87,1.450,4.000,3.960,-0.306,0.707,1.4143
88,1.467,4.000,3.882,-0.203,0.712,1.0146
89,1.483,4.000,3.897,-0.175,0.715,1.8730
90,1.500,4.000,3.895,-0.161,0.715,2.0634
91,1.517,4.000,3.830,-0.150,0.714,2.0407
92,1.533,4.000,3.782,-0.130,0.712,1.9975
93,1.550,4.000,3.778,-0.123,0.709,1.9927
94,1.567,4.000,3.865,-0.109,0.704,2.1265
95,1.583,4.000,3.924,-0.100,0.698,1.8393
96,1.600,4.000,3.896,-0.045,0.691,1.9669
97,1.617,4.000,3.874,-0.026,0.686,2.0703
98,1.633,4.000,3.846,-0.030,0.683,1.8971
99,1.650,4.000,3.854,-0.004,0.682,1.7228
100,1.667,4.000,3.799,0.107,0.684,1.3873
101,1.683,4.000,3.777,0.204,0.688,1.1913
102,1.700,4.000,3.920,0.254,0.692,1.4237
103,1.717,4.000,3.918,0.225,0.696,1.3464
104,1.733,4.000,3.827,0.159,0.696,1.2862
105,1.750,4.000,3.846,0.104,0.695,1.9833
106,1.767,4.000,3.841,0.105,0.692,1.9978
107,1.783,4.000,3.852,0.128,0.689,1.9276
108,1.800,4.000,3.856,0.123,0.687,1.8421
109,1.817,4.000,3.823,0.069,0.685,1.4490
110,1.833,4.000,3.831,-0.070,0.687,1.4645
111,1.850,4.000,3.855,-0.217,0.692,1.3820
112,1.867,4.000,3.912,-0.377,0.701,1.3430
113,1.883,4.000,3.970,-0.324,0.709,1.5027
114,1.900,4.000,3.894,-0.200,0.712,1.3332
115,1.917,4.000,3.899,-0.175,0.711,1.9150
116,1.933,4.000,3.872,-0.180,0.709,2.0548
117,1.950,4.000,3.832,-0.170,0.706,2.0568
118,1.967,4.000,3.809,-0.176,0.701,2.0397
119,1.983,4.000,3.825,-0.186,0.696,2.0735
120,2.000,4.000,3.860,-0.193,0.689,1.6143
121,2.017,4.000,3.874,-0.153,0.682,1.8661
122,2.033,4.000,3.865,-0.117,0.677,1.9802
123,2.050,4.000,3.854,-0.076,0.675,1.8992
124,2.067,4.000,3.831,-0.064,0.674,1.6806
125,2.083,4.000,3.779,0.046,0.677,1.4080
126,2.100,4.000,3.786,0.129,0.681,1.3216
127,2.117,4.000,3.883,0.177,0.686,1.4671
128,2.133,4.000,3.958,0.150,0.691,1.5052
129,2.150,4.000,3.903,0.115,0.694,1.7158
130,2.167,4.000,3.927,0.077,0.693,2.0418
131,2.183,4.000,3.935,0.064,0.692,2.0912
132,2.200,4.000,3.942,0.097,0.689,2.0640
133,2.217,4.000,3.948,0.106,0.688,1.9206
134,2.233,4.000,3.920,0.053,0.688,1.5910
135,2.250,4.000,3.881,-0.046,0.690,1.7703
136,2.267,4.000,3.846,-0.145,0.696,1.5823
137,2.283,4.000,3.866,-0.259,0.706,1.4466
138,2.300,4.000,3.944,-0.244,0.714,1.6554
139,2.317,4.000,3.927,-0.181,0.716,1.4846
140,2.333,4.000,3.935,-0.181,0.715,1.9807
141,2.350,4.000,3.929,-0.207,0.712,2.1072
142,2.367,4.000,3.890,-0.211,0.707,2.1195
143,2.383,4.000,3.863,-0.211,0.702,2.1159
144,2.400,4.000,3.865,-0.214,0.695,2.1358
145,2.417,4.000,3.889,-0.215,0.688,1.6090
146,2.433,4.000,3.864,-0.151,0.681,1.9445
147,2.450,4.000,3.851,-0.082,0.675,1.9375
148,2.467,4.000,3.835,-0.037,0.673,1.8882
149,2.483,4.000,3.812,-0.038,0.672,1.7165
150,2.500,4.000,3.779,0.064,0.673,1.3726
151,2.517,4.000,3.765,0.157,0.677,1.2769
152,2.533,4.000,3.817,0.219,0.682,1.3911
153,2.550,4.000,3.941,0.197,0.687,1.5802
154,2.567,4.000,3.923,0.179,0.689,1.7923
155,2.583,4.000,3.945,0.164,0.689,2.0339
156,2.600,4.000,3.960,0.151,0.687,2.1132
